slot,user_id,traffic_type,arrivals_bits,delivered_bits,capacity_bits,buffer_bits,sinr_linear,rbg_count
27,4,URLLC,951.0,951.0,548502.0179661575,0.0,15571072400.887222,3
27,5,mMTC,451.0,451.0,288479.4971601925,0.0,109857988.36116448,2
28,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
28,1,URLLC,856.0,856.0,466140.82221938553,0.0,459065516.66790885,3
28,2,mMTC,475.0,475.0,420777.7362791648,0.0,65907271.80327702,3
28,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
28,4,URLLC,910.0,910.0,548502.0179661575,0.0,15571072400.887222,3
28,5,mMTC,438.0,438.0,288479.4971601925,0.0,109857988.36116448,2
29,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
29,1,URLLC,922.0,922.0,466140.82221938553,0.0,459065516.66790885,3
29,2,mMTC,473.0,473.0,420777.7362791648,0.0,65907271.80327702,3
29,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
29,4,URLLC,894.0,894.0,548502.0179661575,0.0,15571072400.887222,3
29,5,mMTC,466.0,466.0,288479.4971601925,0.0,109857988.36116448,2
